overlay,active_today,layer,timing_class,current_age_days,overlay_age_days,overlay_age_bucket,is_fresh_activation,is_persistent_background,timing_note,risk_stage,best_yellow_lead_window,best_prebreak_lead_window,path_anatomy,historical_clustering_verdict,current_clustering_status,sample_flag,notes
WTI_STRESS_TOO_PERSISTENT,False,WTI_PRICE_ONLY,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
FRESH_HIGH_RATE_4_5,False,RATE_PERSISTENCE,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
PERSISTENT_HIGH_RATE_4_5_SHORT,False,RATE_PERSISTENCE,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
PERSISTENT_HIGH_RATE_4_5_MEDIUM,False,RATE_PERSISTENCE,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
PERSISTENT_HIGH_RATE_4_5_LONG,False,RATE_PERSISTENCE,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
HIGH_RATE_5_0,False,RATE_PERSISTENCE,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
GLD_BULLISH_IMPULSE,False,GLD_PRICE_ONLY,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
GLD_WHIPSAW_REBOUND,False,GLD_PRICE_ONLY,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
GLD_SAFE_HAVEN_CONFIRMATION,False,GLD_PRICE_ONLY,BENIGN_OR_CONFLICT,0,0,inactive,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
GLD_NO_SIGNAL,True,GLD_PRICE_ONLY,BENIGN_OR_CONFLICT,8,8,active,False,False,,INACTIVE,,,,,,static_reference,monitoring context only
